Attribute,Value,Weight
Industry,SaaS,1
Industry,Marketing Agencies,0.9
Company_Size,11-50,1
Company_Size,51-200,0.8
Region,North America,0
Region,UK,1
Tech_Stack,HubSpot,1
Tech_Stack,Webflow,0.8
Role,Founder,1
Role,Marketing Director,0.9
Industry,E-commerce,1
Industry,Creative Industries,1
Industry,Health and Wellness,1
Industry,Real Estate,1
Industry,Education,0
Industry,Restaurants and Hospitality,0
Industry,Consulting and Legal Services,1
Industry,Nonprofits,0.5
Industry,Executive Recruitment,1
Industry,Startups,1